post_id,date,content_type,topic,posting_time,day_of_week,caption_length,hashtag_count,followers,impressions,reach,views,likes,comments,shares,saves
POST_0024,2024-12-21,Carousel,Promotional,16:23,Tuesday,95,5,144010,56458,38761,20487,1193,297,194,353
POST_0025,2024-08-07,Carousel,Promotional,07:03,Friday,162,8,227907,105310,84159,50796,2521,462,222,1199
POST_0026,2023-12-01,Reel,Product,14:19,Monday,258,6,70754,8098,7276,4070,305,56,65,85
POST_0027,2023-01-14,Image,Product,16:27,Wednesday,63,3,105778,47456,39106,14279,857,154,210,185
POST_0028,2023-03-09,Reel,Behind the Scenes,22:55,Monday,303,2,221097,136526,80893,31719,3382,605,592,1184
POST_0029,2023-11-20,Reel,Tutorial,14:05,Monday,105,5,345321,174084,117471,94278,4394,496,557,832
POST_0030,2024-02-15,Story,Behind the Scenes,11:34,Sunday,359,3,207762,73315,56293,33248,2232,561,340,686
POST_0031,2023-01-23,Story,User Generated,15:54,Monday,298,11,271316,118241,72455,23854,1372,228,121,313
POST_0032,2023-04-03,Video,Educational,09:47,Monday,123,2,261416,75244,71555,22174,1390,283,185,565
POST_0033,2024-05-29,Image,Entertainment,07:54,Sunday,234,1,135161,47429,39422,23025,1635,224,235,253
POST_0034,2024-07-02,Image,Behind the Scenes,17:10,Tuesday,62,29,140538,9279,7837,3124,314,42,50,132
POST_0035,2023-01-22,Image,Product,22:47,Saturday,57,2,213436,147074,82243,59467,1377,126,234,509
POST_0036,2024-01-06,Reel,Entertainment,20:57,Monday,383,2,16989,6777,4331,3366,200,26,42,49
POST_0037,2023-03-01,Reel,Seasonal,15:19,Tuesday,324,0,343012,165811,110968,48490,2781,331,355,1429
POST_0038,2024-06-12,Image,Product,06:29,Monday,78,3,307578,56217,55994,36693,1622,280,127,384
POST_0039,2024-08-31,Reel,User Generated,22:31,Friday,127,15,153760,9586,8355,3280,314,73,28,117
POST_0040,2024-09-26,Story,Promotional,13:29,Friday,95,24,187485,64594,42822,20646,1223,155,122,434
POST_0041,2024-03-12,Image,Entertainment,10:17,Thursday,170,22,165021,48950,37545,31285,1136,149,192,320
POST_0042,2024-04-04,Carousel,Promotional,21:57,Tuesday,130,17,326016,115085,66163,41448,2824,516,576,494
POST_0043,2024-11-07,Story,User Generated,18:56,Monday,144,2,380100,103474,64199,53383,687,79,170,295
POST_0044,2024-03-23,Image,Behind the Scenes,18:22,Thursday,221,23,55224,10305,7589,3302,521,129,102,155
POST_0045,2023-11-22,Carousel,Entertainment,10:47,Tuesday,91,,207246,77785,48628,24217,1498,225,235,652
POST_0046,2024-07-04,Carousel,Educational,22:23,Friday,355,18,7874,2540,1427,831,25,2,2,13
POST_0047,2024-03-07,Image,Educational,13:46,Friday,296,12,226672,120840,88283,51914,2164,255,341,1025
POST_0048,2024-09-06,Reel,Tutorial,15:34,Saturday,309,26,124898,20899,13804,12404,577,120,69,73
POST_0049,2024-01-19,Story,Entertainment,18:27,Thursday,84,9,168565,47341,27287,10059,970,115,212,251
POST_0050,2024-09-26,Reel,Product,17:07,Monday,289,19,228817,41941,34982,28376,1802,325,276,398
POST_0051,2023-02-02,Reel,Tutorial,08:38,Tuesday,337,13,162538,66718,39034,31937,2314,251,278,991
POST_0052,2023-01-27,Reel,Behind the Scenes,11:18,Saturday,86,15,197641,47885,44419,28069,2853,334,380,1257
POST_0053,2023-03-14,Carousel,Tutorial,12:12,Thursday,305,28,382620,159982,105338,53345,6144,1354,625,1700
POST_0054,2024-02-11,Story,Seasonal,22:11,Friday,155,21,405340,252140,155042,94813,2617,285,624,879
POST_0055,2024-06-01,Story,Product,18:57,Thursday,319,12,3925,877,588,279,21,1,1,13
POST_0056,2023-06-07,Carousel,Seasonal,12:06,Tuesday,201,13,189540,77409,55434,43208,2398,388,199,896
POST_0057,2023-04-24,Image,User Generated,18:47,Sunday,324,21,423596,37185,24892,14909,742,161,81,203
POST_0058,2024-09-20,Story,Promotional,18:51,Saturday,76,10,265690,42256,37684,32238,1706,202,320,218
POST_0059,2024-07-01,Reel,User Generated,12:01,Sunday,167,5,103434,25745,21959,14791,1036,111,181,449
POST_0060,2024-04-18,Reel,Behind the Scenes,12:34,Saturday,123,14,297164,21985,18081,11003,1898,451,342,355
POST_0061,2023-12-23,Story,Promotional,21:34,Wednesday,114,2,73319,28849,19516,14181,564,116,84,223
POST_0062,2023-11-03,Image,Entertainment,15:21,Tuesday,137,5,11893,4626,3418,2058,106,23,10,38
POST_0063,2023-01-15,Story,Educational,08:39,Tuesday,165,12,316580,117847,98569,83064,1212,230,250,152
POST_0064,2023-05-18,Carousel,Entertainment,18:24,Sunday,68,23,258051,101620,59558,24458,3664,762,440,1494
POST_0065,2024-10-16,Story,Promotional,16:25,Thursday,288,23,378494,128524,98931,87455,1138,158,95,396
POST_0066,2023-09-05,Story,User Generated,14:25,Thursday,229,7,173070,44292,32644,25701,919,123,161,299
POST_0067,2024-05-29,Story,Seasonal,18:47,Sunday,335,12,427287,36557,27533,22479,682,148,71,322
POST_0068,2024-05-28,Image,Entertainment,21:37,Friday,287,4,211218,20561,17949,10585,1061,187,91,200
POST_0069,2023-08-14,Reel,Behind the Scenes,11:22,Sunday,76,22,369271,163473,103118,82733,7935,1880,1686,1465
POST_0070,2023-05-30,Image,Product,13:54,Sunday,,7,51043,27633,20337,9844,524,83,77,102
POST_0071,2024-05-19,Reel,Entertainment,09:47,Monday,180,23,49478,2782,2747,2079,89,11,10,36
POST_0072,2023-03-10,Image,Educational,17:55,Wednesday,202,25,391627,170052,96009,36893,5115,733,628,932
POST_0073,2023-12-28,Carousel,Promotional,12:43,Saturday,111,20,417159,215680,130509,63196,4851,910,1004,1409
POST_0074,2024-10-10,Reel,Tutorial,11:23,Saturday,317,9,471259,252506,159931,90751,5291,801,489,2067
POST_0075,2024-06-03,Reel,User Generated,17:45,Tuesday,241,28,162986,66539,39250,19365,1221,237,113,269
POST_0076,2024-07-11,Reel,Educational,12:19,Wednesday,304,20,12112,5578,3233,1720,146,26,27,44
POST_0077,2023-03-02,Reel,Entertainment,13:15,Thursday,61,19,489972,182853,143980,114041,11077,933,2028,4283
POST_0078,2023-05-26,Story,Educational,13:26,Saturday,329,25,301085,157170,105571,47929,4680,716,985,313
POST_0079,2023-07-20,Story,User Generated,10:57,Monday,98,26,124313,17154,11536,8619,103,18,14,29
POST_0080,2023-08-02,Carousel,Promotional,08:33,Friday,190,2,382158,173565,142989,49220,3428,742,296,781
POST_0081,2023-05-22,Story,Seasonal,20:22,Wednesday,186,26,452044,31462,26718,20290,709,100,113,175
POST_0082,2024-12-10,Image,Seasonal,07:27,Tuesday,331,22,143118,53510,49042,38018,784,125,132,123
POST_0083,2023-05-01,Carousel,Seasonal,11:17,Thursday,125,,385064,45204,29595,16011,1285,184,121,303
POST_0084,2024-05-31,Reel,Tutorial,17:38,Wednesday,,9,393990,75611,46538,34135,2723,442,451,677
POST_0085,2024-03-04,Reel,Educational,08:20,Friday,149,22,251340,20767,12909,10960,544,52,63,258
POST_0086,2024-03-21,Reel,Promotional,17:32,Wednesday,157,6,316545,81643,65157,50850,3514,887,854,1096
POST_0087,2023-06-06,Story,Promotional,18:21,Saturday,89,13,135490,26346,22630,12090,684,150,142,90
POST_0088,2023-08-13,Image,Seasonal,17:18,Monday,87,20,464652,68453,50227,29660,1807,281,249,346
POST_0089,2024-03-18,Reel,Entertainment,11:57,Sunday,107,19,491568,146888,102187,78440,2896,495,687,612
POST_0090,2023-08-07,Image,Educational,06:20,Monday,197,27,490521,162431,93606,44514,1166,113,300,451
POST_0091,2024-05-21,Reel,Tutorial,21:04,Saturday,150,3,368825,199796,117537,91952,6113,1131,648,2414
POST_0092,2023-01-29,Story,User Generated,11:22,Wednesday,168,8,22130,13904,8024,3986,182,27,25,57
POST_0093,2023-02-23,Image,Promotional,19:31,Wednesday,,29,183861,86003,51186,40109,2187,391,356,304
POST_0094,2024-06-15,Image,User Generated,09:05,Monday,111,17,223023,36960,20862,7345,257,24,26,141
POST_0095,2024-03-26,Image,Behind the Scenes,08:18,Friday,365,7,479961,101034,73619,24046,2195,414,301,510
POST_0096,2023-02-01,Story,Product,19:09,Tuesday,305,8,273946,105112,101267,90999,1995,236,229,550
POST_0097,2024-10-18,Image,Promotional,21:29,Friday,86,10,268548,23222,21767,17885,694,115,146,51
POST_0098,2023-01-04,Reel,Promotional,20:42,Saturday,139,16,74224,18738,14280,11848,698,138,112,282
POST_0099,2024-11-28,Reel,Product,18:57,Saturday,89,8,397066,181930,150836,131343,12673,1337,2322,2063
POST_0100,2024-06-16,Video,User Generated,10:22,Friday,123,18,168806,73390,64607,36373,2824,414,391,782
POST_0101,2024-12-22,Video,User Generated,21:50,Wednesday,158,13,46844,16011,9084,4288,378,75,35,81
POST_0102,2024-11-23,Story,User Generated,17:12,Saturday,69,18,493836,161940,140046,52939,4546,900,1110,1590
POST_0103,2023-08-17,Reel,Seasonal,08:46,Saturday,25,4,95845,35551,20114,12082,899,81,71,386
POST_0104,2024-07-06,Video,Educational,08:33,Wednesday,186,18,9098,4591,2854,1233,81,11,7,28
POST_0105,2023-06-03,Carousel,Behind the Scenes,20:44,Monday,286,,39840,3679,2432,2094,149,20,21,61
POST_0106,2023-12-11,Story,Educational,10:44,Sunday,,4,226801,35104,22783,6889,402,74,77,102
POST_0107,2023-06-25,Image,Educational,19:31,Tuesday,346,9,52349,17548,13870,5352,606,106,80,166
POST_0108,2023-12-21,Reel,Seasonal,08:15,Friday,,20,421484,84019,55380,24803,2553,205,228,1049
POST_0109,2024-09-28,Reel,Seasonal,10:31,Tuesday,362,18,256711,83533,72679,30479,2776,552,408,1255
POST_0110,2023-11-15,Video,Product,10:48,Monday,109,20,162626,49218,28122,12246,840,168,101,255
POST_0111,2023-03-09,Image,Entertainment,10:57,Saturday,224,16,2571,1149,926,642,27,5,2,13
POST_0112,2023-08-25,Reel,Educational,17:54,Tuesday,309,20,240419,97485,80958,40196,6636,539,998,1480
POST_0113,2024-07-28,Image,Educational,21:10,Friday,42,18,76500,26703,17020,11386,979,112,86,229
POST_0114,2024-01-16,Story,Behind the Scenes,21:35,Friday,373,2,489044,239061,156745,130749,6258,969,828,2464
POST_0115,2024-02-13,Reel,Educational,18:06,Monday,158,22,146253,28841,21191,14018,1287,151,255,542
POST_0116,2023-11-11,Carousel,User Generated,09:39,Tuesday,209,13,237963,79910,53063,38031,1039,164,218,362
POST_0117,2023-08-02,Carousel,Seasonal,22:58,Saturday,258,1,10292,1381,1225,636,48,4,5,21
POST_0118,2024-03-12,Story,Tutorial,15:03,Thursday,264,12,66329,35853,23302,9223,859,77,104,222
POST_0119,2024-04-07,Image,Entertainment,15:38,Monday,28,13,104535,42990,35340,17399,728,136,87,215
POST_0120,2024-10-17,Story,User Generated,17:55,Sunday,349,2,26809,11945,9805,8614,321,43,83,129
POST_0121,2024-03-26,Story,Product,19:49,Tuesday,256,29,363270,146560,129729,87318,4645,1012,576,2122
POST_0122,2024-12-27,Story,Product,22:23,Monday,399,6,472762,230924,182419,85099,3300,309,386,1656
POST_0123,2024-08-26,Reel,Behind the Scenes,15:06,Sunday,199,9,492692,80971,64009,36520,5082,798,710,924
POST_0124,2023-02-27,Image,Educational,16:54,Monday,,13,133638,68529,50266,40278,769,106,82,239
POST_0125,2023-10-14,Reel,Promotional,18:54,Thursday,187,24,394584,113638,98616,69136,6680,1365,691,1793
POST_0126,2023-10-08,Image,Promotional,10:34,Sunday,358,22,252527,57683,49968,31799,683,146,68,246
POST_0127,2023-01-03,Image,Promotional,11:57,Friday,336,23,23882,8425,5878,4885,120,15,19,21
POST_0128,2023-05-12,Reel,Entertainment,16:00,Friday,365,7,46260,8670,7860,5529,338,63,62,101
POST_0129,2024-07-10,Reel,Tutorial,07:36,Wednesday,211,25,274345,64253,41424,28401,2793,300,475,569
POST_0130,2023-09-15,Story,Entertainment,11:02,Monday,320,24,212403,50125,28559,11819,759,119,141,91
POST_0131,2023-04-18,Reel,User Generated,18:55,Friday,,13,5182,547,408,148,28,2,3,13
POST_0132,2023-07-29,Video,Entertainment,22:40,Sunday,195,16,465122,179132,104093,91506,5599,764,1160,662
POST_0133,2023-07-20,Story,Promotional,14:53,Monday,308,1,365438,142186,131819,86910,1141,131,238,420
POST_0134,2023-05-08,Image,Promotional,12:33,Sunday,50,22,251704,70439,68099,37414,2201,469,442,281
POST_0135,2023-03-15,Story,Tutorial,13:04,Wednesday,289,28,493509,180832,114662,74921,3574,599,774,1399
POST_0136,2024-07-11,Reel,Product,17:01,Thursday,26,14,485596,156251,97122,32738,3025,531,418,897
POST_0137,2024-08-24,Video,Entertainment,15:19,Tuesday,240,16,487001,173316,103507,82109,4016,593,539,1746
POST_0138,2023-12-29,Image,Behind the Scenes,06:43,Friday,201,14,130158,16770,16041,6897,569,80,93,276
POST_0139,2024-03-25,Carousel,Entertainment,15:08,Tuesday,198,2,440564,241480,148922,116565,5255,671,569,3051
POST_0140,2024-11-02,Reel,Tutorial,12:50,Tuesday,207,18,252768,39282,30189,18736,2042,481,324,564
POST_0141,2024-09-07,Image,Seasonal,17:14,Saturday,206,21,363292,135803,109284,50920,3880,789,330,1079
POST_0142,2023-01-24,Image,Behind the Scenes,20:29,Monday,174,27,429905,154650,135847,43216,5788,592,471,2511
POST_0143,2024-11-26,Video,Seasonal,22:11,Thursday,191,27,82499,37237,20724,16361,280,58,67,66
POST_0144,2023-02-18,Story,Promotional,16:27,Friday,235,14,224677,83119,79091,32101,1358,178,231,177
POST_0145,2023-01-20,Image,Behind the Scenes,12:26,Monday,310,28,65320,16481,9919,3284,406,30,62,90
POST_0146,2023-10-22,Reel,User Generated,13:00,Wednesday,229,15,140464,76131,50365,37951,1766,319,261,760
POST_0147,2024-06-28,Image,Tutorial,08:33,Wednesday,264,19,207344,100524,63300,32284,641,66,112,229
POST_0148,2023-02-28,Image,Promotional,21:46,Friday,337,18,427882,221302,141013,75244,4530,496,973,1000
POST_0149,2023-08-02,Image,Entertainment,20:55,Sunday,396,29,431470,205671,121934,54655,6331,1147,1105,1010
POST_0150,2023-07-11,Reel,Promotional,20:19,Saturday,61,22,195554,77658,67704,55213,3046,381,555,1054
POST_0151,2023-10-18,Carousel,Behind the Scenes,11:51,Tuesday,290,3,165268,65751,65708,31434,1276,268,185,200
POST_0152,2024-12-20,Carousel,Tutorial,11:51,Monday,105,2,265830,77465,52383,22321,1660,337,246,677
POST_0153,2023-08-30,Reel,User Generated,20:58,Monday,94,,456023,195937,152708,74147,6696,1487,1338,1644
POST_0154,2023-06-02,Story,Seasonal,15:22,Friday,321,15,488287,166682,151663,63985,2497,423,562,316
POST_0155,2023-03-31,Reel,Behind the Scenes,17:50,Tuesday,46,20,114155,27345,23801,11676,1884,400,270,373
POST_0156,2023-05-25,Story,Tutorial,14:33,Tuesday,342,14,94055,44563,35217,12317,345,44,45,77
POST_0157,2023-04-08,Reel,Product,13:03,Saturday,312,15,353680,70245,66509,26278,4347,818,724,1915
POST_0158,2024-02-23,Story,Promotional,16:15,Sunday,398,27,151398,39241,37533,20651,360,63,57,146
POST_0159,2023-11-03,Story,User Generated,19:39,Saturday,273,,100681,15191,8767,7256,319,80,85,90
POST_0160,2023-12-30,Carousel,Behind the Scenes,11:09,Tuesday,351,14,16503,2660,2129,711,59,6,12,26
POST_0161,2024-08-30,Reel,Tutorial,19:25,Friday,65,16,202202,124301,69606,29763,4445,870,693,2065
POST_0162,2024-02-28,Video,User Generated,10:45,Friday,358,14,196527,65727,37103,31352,1022,204,142,266
POST_0163,2023-04-24,Reel,Promotional,12:08,Tuesday,80,29,281966,59032,52989,44193,2525,349,373,767
POST_0164,2023-10-03,Reel,Tutorial,21:29,Thursday,139,28,100891,21582,13730,9716,915,192,75,229
POST_0165,2023-08-17,Story,Tutorial,22:12,Thursday,68,15,357468,117533,79380,35267,2486,357,420,828
POST_0166,2024-08-26,Image,Product,21:31,Wednesday,172,13,340337,175440,113004,62365,2435,297,580,1113
POST_0167,2023-08-13,Carousel,Product,11:14,Saturday,304,17,231712,90660,84182,35923,1597,265,284,307
POST_0168,2023-04-12,Carousel,User Generated,20:56,Friday,121,5,91479,7846,6818,2571,255,42,31,129
POST_0169,2024-06-21,Image,Seasonal,21:04,Thursday,332,12,253971,67705,63794,33683,2913,220,526,626
POST_0170,2023-11-09,Video,Seasonal,22:56,Saturday,250,6,337731,106976,72120,46552,2223,228,489,1078
POST_0171,2023-03-11,Reel,Entertainment,06:46,Saturday,258,4,186985,88658,49550,25565,3451,381,418,1232
POST_0172,2024-05-18,Image,Entertainment,18:50,Thursday,376,2,132474,42071,27362,18236,1849,343,303,208
POST_0173,2023-06-03,Reel,User Generated,22:50,Tuesday,184,17,253746,75435,48091,22975,2663,583,465,478
POST_0174,2024-09-25,Video,Educational,18:11,Saturday,150,0,178253,68560,38352,19464,2116,345,442,398
POST_0175,2024-08-30,Reel,Product,09:54,Saturday,397,19,200855,78595,50956,39460,2822,262,275,969
POST_0176,2023-09-27,Reel,Behind the Scenes,18:35,Sunday,231,12,175081,40721,39453,32627,3285,597,401,1498
POST_0177,2024-02-10,Image,Behind the Scenes,07:56,Tuesday,253,10,152429,55567,32810,16182,1163,242,176,206
POST_0178,2024-02-19,Video,Educational,14:51,Wednesday,132,23,358659,155778,120596,77532,7310,1339,583,1486
POST_0179,2024-04-22,Carousel,Behind the Scenes,16:34,Sunday,101,16,230660,71979,71729,33490,4210,478,553,807
POST_0180,2023-02-20,Story,Product,13:22,Thursday,84,22,233788,55700,39622,13154,1486,150,310,466
POST_0181,2023-08-26,Carousel,Tutorial,17:06,Sunday,104,21,326889,188851,107939,80167,7457,1736,804,2397
POST_0182,2023-05-05,Carousel,Seasonal,10:05,Monday,94,0,181288,76245,63229,25456,454,92,65,74
POST_0183,2024-05-24,Image,Entertainment,16:22,Monday,303,6,51415,7428,5332,2961,152,13,35,41
POST_0184,2023-02-20,Image,User Generated,16:47,Saturday,42,17,426458,123349,108294,64134,3292,740,562,1000
POST_0185,2024-01-13,Carousel,User Generated,16:29,Wednesday,259,29,28796,4514,4315,1772,169,17,29,79
POST_0186,2024-06-15,Story,Behind the Scenes,10:28,Thursday,380,,286403,94112,88415,31540,3242,317,596,1479
POST_0187,2024-11-23,Image,Educational,11:14,Wednesday,310,3,133644,28233,17851,9082,307,62,34,94
POST_0188,2023-07-30,Reel,Tutorial,10:33,Wednesday,173,28,107701,51909,30693,26745,930,167,104,415
POST_0189,2023-01-06,Story,Tutorial,13:37,Sunday,42,29,21936,3405,3055,2044,50,8,10,23
POST_0190,2024-06-12,Reel,Product,15:57,Monday,336,5,450145,126804,103038,54491,2754,693,442,1049
POST_0191,2023-01-02,Video,User Generated,12:43,Saturday,21,12,215173,95026,82201,26579,2835,550,324,403
POST_0192,2023-02-18,Reel,Behind the Scenes,12:35,Sunday,278,18,171982,32228,31551,20828,2533,251,240,1493
POST_0193,2024-12-24,Reel,Educational,10:53,Friday,274,5,370873,190758,132219,46984,4621,919,1108,1590
POST_0194,2024-09-21,Carousel,Entertainment,09:25,Wednesday,92,9,20450,12613,8086,5058,377,77,32,125
POST_0195,2024-05-31,Reel,Tutorial,17:55,Tuesday,301,11,282710,152893,100700,75642,4922,881,1048,1538
POST_0196,2024-09-01,Reel,Entertainment,19:21,Friday,86,19,247805,35088,26776,14837,2256,481,286,227
POST_0197,2023-02-25,Story,Entertainment,10:07,Thursday,105,9,277165,134828,93371,44785,1756,303,281,218
POST_0198,2023-03-06,Carousel,Seasonal,20:24,Tuesday,328,12,62845,4138,3849,1264,199,19,24,84
POST_0199,2023-08-08,Reel,Promotional,15:07,Wednesday,392,8,476317,100416,89383,28143,1880,212,199,755
POST_0200,2023-01-18,Image,Tutorial,08:06,Sunday,120,22,119994,74299,42568,23753,936,204,159,245
POST_0201,2024-10-10,Carousel,Seasonal,12:51,Tuesday,370,4,339546,159036,98829,82028,1945,524,418,614
POST_0202,2023-02-11,Video,User Generated,06:46,Tuesday,367,6,373808,153638,88390,39460,3420,344,400,1595
POST_0203,2024-02-02,Image,Seasonal,06:13,Friday,312,7,172647,55586,32069,20666,520,54,85,256
POST_0204,2024-09-15,Reel,Promotional,11:49,Tuesday,73,27,66245,33649,22145,15735,687,153,114,262
POST_0205,2024-06-20,Reel,Entertainment,13:04,Sunday,133,28,149038,77482,44464,14962,3722,331,420,1397
POST_0206,2023-06-21,Reel,Seasonal,19:16,Sunday,277,15,403665,115149,86360,33841,5722,576,1079,2754
POST_0207,2023-12-10,Reel,Tutorial,08:41,Sunday,399,4,453341,164751,164276,81935,5074,1246,579,2075
POST_0208,2024-02-05,Story,Entertainment,20:17,Sunday,329,22,468516,64192,61132,42918,1491,311,242,354
POST_0209,2024-07-14,Reel,Behind the Scenes,09:43,Tuesday,179,14,113929,13583,12490,7037,516,115,51,156
POST_0210,2023-11-08,Image,Seasonal,08:51,Tuesday,109,,303659,89869,83500,61833,1182,238,204,449
POST_0211,2023-07-28,Story,Tutorial,17:03,Wednesday,384,10,76366,38180,29797,24450,1083,161,159,565
POST_0212,2024-08-03,Story,Promotional,19:01,Thursday,124,29,355469,75763,48535,36645,1143,277,188,367
POST_0213,2024-10-09,Reel,User Generated,16:55,Sunday,150,24,208517,46766,28647,25649,975,133,155,404
POST_0214,2023-12-23,Carousel,Promotional,07:30,Saturday,386,6,357079,51949,35288,26558,564,65,118,95
POST_0215,2023-01-21,Story,Product,07:29,Friday,233,21,342878,134523,120417,97695,2683,541,386,295
POST_0216,2024-01-01,Story,Product,12:27,Sunday,120,8,496411,102540,64155,51286,1524,294,329,349
POST_0217,2024-10-11,Reel,Tutorial,13:25,Friday,22,10,244833,71072,55359,40863,3690,843,438,1071
POST_0218,2024-12-23,Reel,Entertainment,22:40,Wednesday,183,7,171427,68730,68023,53131,1711,170,222,503
POST_0219,2023-10-20,Video,Promotional,10:34,Wednesday,394,20,263850,17525,14313,12320,503,113,44,122
POST_0220,2023-04-20,Image,User Generated,09:09,Thursday,,7,82265,25461,20136,11782,714,137,113,273
POST_0221,2024-02-22,Image,Entertainment,22:36,Monday,285,19,56768,15871,13016,8889,95,19,19,36
POST_0222,2024-08-29,Image,Tutorial,08:39,Saturday,116,17,260064,142678,86498,52674,1305,299,283,234
POST_0223,2024-11-20,Story,Seasonal,06:06,Friday,314,22,412877,115746,71984,58351,1764,244,296,476
POST_0224,2023-02-07,Video,Entertainment,13:22,Saturday,314,29,267091,80489,51714,28898,1949,416,389,662
POST_0225,2023-08-01,Reel,User Generated,12:46,Thursday,251,0,391179,47282,42551,33693,1441,276,164,546
POST_0226,2023-12-15,Video,Seasonal,16:36,Saturday,313,29,89778,45711,27767,21647,1301,281,117,485
POST_0227,2023-03-13,Reel,Product,20:08,Sunday,,3,225246,112739,73125,64140,4463,1058,978,1076
POST_0228,2024-10-09,Story,Seasonal,21:02,Thursday,163,15,306941,34708,30028,13493,706,134,76,225
POST_0229,2023-03-23,Story,Educational,10:34,Thursday,300,10,174490,49734,32753,23771,1073,94,97,392
POST_0230,2024-04-30,Reel,Behind the Scenes,22:27,Monday,337,19,8048,4045,2917,2199,92,10,21,24
POST_0231,2024-11-01,Reel,Promotional,16:56,Saturday,339,21,37650,2592,1918,1652,83,20,21,20
POST_0232,2024-05-15,Image,Entertainment,07:30,Sunday,100,25,463906,78134,71703,60527,1305,338,257,408
POST_0233,2024-07-11,Video,Seasonal,21:54,Friday,277,12,302963,104687,74003,47666,4391,957,573,601
POST_0234,2023-07-12,Story,Entertainment,08:12,Sunday,,27,133022,23980,22205,14377,674,58,144,208
POST_0235,2024-08-27,Video,Entertainment,16:26,Sunday,237,9,130150,21382,18899,7566,319,50,40,163
POST_0236,2023-11-02,Carousel,Behind the Scenes,19:08,Saturday,237,6,20740,4840,4376,3872,176,37,27,59
POST_0237,2023-02-14,Image,Product,10:33,Thursday,158,11,472443,94577,53637,24298,1136,212,145,201
POST_0238,2023-09-25,Carousel,Product,10:11,Monday,397,15,55016,15899,12949,9515,380,33,81,80
POST_0239,2023-09-13,Reel,Behind the Scenes,14:29,Monday,355,20,379968,145086,112981,87840,5249,854,1093,509
POST_0240,2024-01-16,Reel,Product,21:20,Tuesday,34,24,120884,38212,30384,17158,1636,164,294,461
POST_0241,2023-07-13,Carousel,Tutorial,09:10,Thursday,99,6,168477,23912,13914,5937,562,91,56,208
POST_0242,2023-12-04,Carousel,Promotional,17:05,Saturday,99,9,137679,69000,47574,19665,2365,284,378,825
POST_0243,2023-11-09,Reel,Seasonal,13:30,Thursday,361,28,412436,79616,45880,37341,1991,190,256,1002
POST_0244,2023-08-27,Image,User Generated,07:55,Monday,217,13,17372,6841,5518,3346,110,9,23,28
POST_0245,2024-05-23,Story,Seasonal,18:11,Tuesday,296,7,176792,34011,31150,11029,1157,256,115,287
POST_0246,2023-08-12,Carousel,Seasonal,20:23,Sunday,327,29,140398,65723,45484,33212,1410,306,136,608
POST_0247,2024-07-13,Story,Promotional,15:13,Sunday,311,,137204,21399,16765,7545,454,95,80,37
POST_0248,2023-07-03,Image,User Generated,08:47,Wednesday,53,29,97277,18416,11219,9265,144,23,22,50
